OBJECTID,ID,NAME,ADDRESS,DEPARTMENT,INSTALL_YEAR,PS_14,PS_32,VDRVP_W_S,TOTAL_SITE_SERVERS,MONITOR,EXTERIOR_CAM,INTERIOR_CAM,PTZ_CAM,TOTAL_STATIONARY_CAM,TOTAL_SITE_CAMERA,TOTAL_SITE_CAMERA2,AVAILABLE_CAMERA_PORT,WEB_URL,DESCRIPTION,X,Y,LATITUDE,LONGITUDE,OBJECTID_1,POINT_X,POINT_Y,INSTALL_YE,TOTAL_SITE,EXTERIOR_C,INTERIOR_C,TOTAL_STAT,TOTAL_SI_1,TOTAL_SI_2,AVAILABLE_,DESCRIPTIO
,366,MacFarland Middle School,4400 IOWA AVENUE NW,DCPS,1999,0,1,0,1,2,6,20,0,26,42,32,6, , ,397592.040497,141746.549995,38.943608,-77.027776,375,,,,,,,,,,,
,367,CCTV-0061,Georgia Ave. and Piney Branch Rd. N.W.,DDOT, , , , , , ,1, , , , , , , , ,397619.024501,144402.509003,38.967534,-77.027474,376,,,,,,,,,,,
,368,CCTV-0096,Georgia Ave. and Arkansas Ave. N.W.,DDOT, , , , , , ,1, , , , , , , , ,397622.280502,142663.823001,38.951871,-77.027431,377,,,,,,,,,,,
,519,CCTV-0078,3rd St. and H St. N.E.,DDOT, , , , , , ,1, , , , , , , , ,399824.745499,136930.083996,38.900223,-77.00202,378,,,,,,,,,,,
,520,CCTV-0019,S. Capitol St. and Howard Rd S.E.,DDOT, , , , , , ,1, , , , , , , , ,399848.549498,132979.088997,38.864631,-77.001745,379,,,,,,,,,,,
,521,Brent Elementary School,301 NORTH CAROLINA AVENUE SE,DCPS,2005,0,0,1,1,2,8,14,0,22,24,32,10, , ,399873.340498,135218.079996,38.884801,-77.00146,380,,,,,,,,,,,
,522,Ballou STAY Senior High School,3401 4TH STREET SE,DCPS, , , , , , , , , , , , , , , ,399915.330499,130176.290001,38.839382,-77.000975,381,,,,,,,,,,,
,400,Trinidad Recreation Center,1310 Childress ST. NE,DPR, , , , , , ,8,8,0, ,16, , , , ,401496.880494,137620.379997,38.90644,-76.982742,382,,,,,,,,,,,
,401,Webb Elementary School,1375 MOUNT OLIVET ROAD NE,DCPS,2003,0,1,0,1,1,3,11,0,14,14,32,18, , ,401636.150502,137801.709999,38.908074,-76.981136,383,,,,,,,,,,,
,402,CCTV-0020,S.E. Freeway and Sousa Bridge / Pennsylvania Ave. S.E.,DDOT, , , , , , ,1, , , , , , , , ,401697.528496,134475.830005,38.878113,-76.980437,384,,,,,,,,,,,
,403,Turner Elementary School,3264 STANTON ROAD SE,DCPS,1999,1,0,0,1,2,3,11,0,14,14,14,0, , ,401708.960494,131092.700003,38.847636,-76.980313,385,,,,,,,,,,,
,404,Kramer Middle School,1700 Q STREET SE,DCPS,1999,0,1,0,1,2,1,17,0,18,18,32,14, , ,401720.7105,133718.02,38.871286,-76.980171,386,,,,,,,,,,,
,405,Eastern Senior High School,1700 EAST CAPITOL STREET NE,DCPS,1999,0,3,0,3,2,13,65,2,76,198,96,18, , ,401762.500497,135840.079998,38.890402,-76.979684,387,,,,,,,,,,,
,406,Rosedale Recreation Center,1700 Gales St. NE,DPR, , , , , , ,4,0, , ,4, , , , ,401786.719499,136710.070001,38.898239,-76.979403,388,,,,,,,,,,,
,407,CCTV-0033,Benning Rd. and 17th st. N.E.,DDOT, , , , , , ,1, , , , , , , , ,401795.809498,136840.126002,38.899411,-76.979298,389,,,,,,,,,,,
,408,CCTV-0091,Rhode Island Ave. and 18th St. (20th),DDOT, , , , , , ,1, , , , , , , , ,401810.8045,139973.441997,38.927637,-76.979117,390,,,,,,,,,,,
,409,Eliot Junior High School,1830 CONSTITUTION AVENUE NE,DCPS,1999,0,1,0,1,2,1,15,0,16,16,32,16, , ,401823.730497,136065.309995,38.892431,-76.978978,391,,,,,,,,,,,
,410,Taft Center,1800 PERRY STREET NE,DCPS,1999,0,1,0,1,2,2,26,0,28,28,32,4, , ,401855.750495,140990.2,38.936796,-76.978596,392,,,,,,,,,,,
,411,Burroughs Elementary School,1820 MONROE STREET NE,DCPS,2003,0,1,0,1,1,2,12,0,14,14,32,18, , ,401866.990497,140604.889999,38.933325,-76.978467,393,,,,,,,,,,,
,0,Deanwood Recreation Center,1350 49th Street NE,DPR, , , , , , , , , , ,25, , , , ,0,0,0,0,394,,,,,,,,,,,
,0,Bald Eagle Recreation Center,1000 Joliet St. SW,DPR, , , , , , , , , , ,16, , , , ,0,0,0,0,395,,,,,,,,,,,
,0, ,400 block 16th St NE,MPD, , , , , , , , , , , , , , , ,0,0,0,0,396,,,,,,,,,,,
,0, ,5th & K St NW,MPD, , , , , , , , , , , , , , , ,0,0,0,0,397,,,,,,,,,,,
,0, ,Georgia Avenue & Allison St NW,MPD, , , , , , , , , , , , , , , ,0,0,0,0,398,,,,,,,,,,,
,0, ,7th and Kennedy St NW,MPD, , , , , , , , , , , , , , , ,0,0,0,0,399,,,,,,,,,,,
,0, ,16th St & W St SE,MPD, , , , , , , , , , , , , , , ,0,0,0,0,400,,,,,,,,,,,
,0, ,18th & G NW,MPD, , , , , , , , , , , , , , , ,0,0,0,0,401,,,,,,,,,,,
,0, ,19th and G NW,MPD, , , , , , , , , , , , , , , ,0,0,0,0,402,,,,,,,,,,,
,0,Department of Health PHL Annex,"4 DC Village Lane, SW",PSD, , , , , , ,8,10, , ,18, , , , ,0,0,0,0,403,,,,,,,,,,,
,0,Department of Health Warehouse,"3700 10th St, NE",PSD, , , , , , ,0,6, , ,6, , , , ,0,0,0,0,404,,,,,,,,,,,
,0,Waterfront Tower East,"1100 4th St, SW",PSD, , , , , , ,0,70, , ,70, , , , ,0,0,0,0,405,,,,,,,,,,,
,0,Waterfront Tower West,"1101 4th St, SW",PSD, , , , , , ,0,96, , ,96, , , , ,0,0,0,0,406,,,,,,,,,,,
,0,Department of Employment Services,"4058 Minnesota Ave, NE",PSD, , , , , , ,14,77, , ,91, , , , ,0,0,0,0,407,,,,,,,,,,,
,0,DDOT,"55 M St, SE",PSD, , , , , , ,0,12, , ,12, , , , ,0,0,0,0,408,,,,,,,,,,,
,0,Ward 6 SWC,"500 K St, NE",PSD, , , , , , ,7,9, , ,16, , , , ,0,0,0,0,409,,,,,,,,,,,
,0,Department of Health TB Clinic,1900 Massachusetts Avenue SE,PSD, , , , , , ,0,7, , ,7, , , , ,0,0,0,0,410,,,,,,,,,,,
,95,CCTV-0007,4th St and New York Ave. N.W.,DDOT, , , , , , ,1, , , , , , , , ,398598.494493,137445.982996,38.90487,-77.016158,411,,,,,,,,,,,
,96,Gage-Eckington Elementary School,2025 3RD STREET NW,DCPS,2003,0,1,0,1,1,6,8,0,14,14,32,18, , ,398622.240497,138885.249996,38.917835,-77.015887,412,,,,,,,,,,,
,97,H.D. Cooke Elementary School @ K.C. Lewis,300 BRYANT STREET NW,DCPS,1999,1,0,0,1,1,0,14,0,14,61,14,0, , ,398648.830495,139173.329997,38.92043,-77.015581,413,,,,,,,,,,,
,98,CCTV-0102,3rd St. and Constitution Ave. N.W.,DDOT, , , , , , ,1, , , , , , , , ,398679.1395,136027.006997,38.892087,-77.015225,414,,,,,,,,,,,
,99,CCTV-0075,3rd St and Massachussetts Ave. N.W.,DDOT, , , , , , ,1, , , , , , , , ,398683.690498,136885.250001,38.899818,-77.015175,415,,,,,,,,,,,
,100,CCTV-0086,New Jersey Ave. and New York Ave. N.W.,DDOT, , , , , , ,1, , , , , , , , ,398718.313501,137500.732999,38.905363,-77.014777,416,,,,,,,,,,,
,101,Dunbar Senior High School,1301 NEW JERSEY AVENUE NW,DCPS,1999,0,1,0,1,2,5,23,0,28,80,32,4, , ,398725.550497,137851.549999,38.908523,-77.014694,417,,,,,,,,,,,
,102,CCTV-0027,Independence Ave. at Washington Ave. S.W.,DDOT, , , , , , ,1, , , , , , , , ,398802.119498,135524.826995,38.887563,-77.013807,418,,,,,,,,,,,
,103,CCTV-0076,2nd St. and H St. N.W.,DDOT, , , , , , ,1, , , , , , , , ,398815.222497,136931.051002,38.900231,-77.013658,419,,,,,,,,,,,
,104,Walker-Jones/R.H. Terrell Elementary School,100 L STREET NW,DCPS,1999,2,0,0,2,2,2,12,0,14,44,28,14, , ,398870.430493,137323.65,38.903768,-77.013023,420,,,,,,,,,,,
,105,Bowen Elementary School,101 M STREET SW,DCPS,2003,0,1,0,1,1,4,10,0,14,14,32,18, , ,398879.860501,134328.100001,38.876783,-77.012909,421,,,,,,,,,,,
,106,Leckie Elementary School,4201 MARTIN LUTHER KING JR AVENUE SW,DCPS,2003,0,1,0,1,1,6,12,0,18,18,32,14, , ,398880.580494,128934.660001,38.828196,-77.012892,422,,,,,,,,,,,
,107,J.F. Cook Elementary School,30 P STREET NW,DCPS,1999,0,1,0,1,1,6,8,0,14,14,32,18, , ,399105.740499,137949.350004,38.909405,-77.010311,423,,,,,,,,,,,
,108,M.M. Washington Career Senior High School,27 O STREET NW,DCPS,1999,0,1,0,1,2,3,13,0,16,32,32,16, , ,399108.889501,137873.359997,38.90872,-77.010274,424,,,,,,,,,,,
,109,CCTV-0089,N. Capitol St. and Rhode Island Ave. N.W.,DDOT, , , , , , ,1, , , , , , , , ,399212.155499,138772.082996,38.916816,-77.009085,425,,,,,,,,,,,
