X,Y,OBJECTID,LATITUDE,LONGITUDE,ROUTES,EGIS_ID,REG_ID,BSTP_GEO_ID,BSTP_OPS_TCD,BSTP_OPS_FTU_TCD,BSTP_EFF_DATE,BSTP_TCD,AT_STR,ON_STR,BSTP_HDG,BSTP_POS_TCD,BSTP_LDC,BSTP_MSG_TEXT,BSTP_LAT_LON_TCD,BSTP_INV_SYR_TCD,BSTP_INV_SRV_DATE,BSTP_BNH_CNT,BSTP_BST_TCD,BSTP_IFC_OWN,BSTP_HAS_BKRS,BSTP_HAS_PRS,BSTP_HAS_PVM,BSTP_HAS_PRM,BSTP_PDP_SIZE_TCD,BSTP_PDP_MTR_TCD,BSTP_PDP_OBS_TCD,BSTP_PDP_HAS_CCN,BSTP_HAS_BDR_PDP,BSTP_BDR_PDP_OBS,BSTP_SWK_WDT,BSTP_SWK_HAS_CCN,BSTP_SWK_HAS_PPC,BSTP_SWK_SLP_WVL,BSTP_SWK_OBS_TCD,BSTP_SWK_IPD_TCD,ONS_CRP_SLP,ONS_CRP,OFS_CRP,AT_STR_ABS_CRP,AT_STR_OSS_CRP,ONS_CWK,OFS_CWK,AT_STR_ABS_CWK,AT_STR_OSS_CWK,ON_STR_STS_OR_TFL,ON_STR_PDC_SGL,AT_STR_PDC_SGL,BSTP_PRK_RST_TCD,BSTP_NPK_ZNE_LTH,CNF_NPK_SNS,STR_LGT_WTN_30_FT,BSTP_HAS_LED_DSP,BSTP_ACC_RATING,BSTP_BRDG_STP,BSTP_HAS_LUM_SIGN,BSTP_HAS_PWR_SRC,METRO_ACCS_STP,CREATED_DATE,LAST_EDITED_DATE,BX_UPDATE_DATE,BX_UPDATE_USER,LAST_UPDATE_DATE
-76.962288641463971,38.840499585651635,7003,38.840492,-76.962283,,1309564,3000640,2306,PRS,NON,1901-01-01T00:00:00.000Z,REV,CATSKILL ST,23RD PKY,149,NEA,UNKNOWN,23RD PKY + CATSKILL ST,,KFH,2006-05-02T00:00:00.000Z,0,UNK,UNKW,N,N,N,N,<58,CON,NON,Y,N,E,4,N,N,N,NON,UPV,6.3,Y,Y,Y,N,N,Y,N,N,Y,N,N,YUN,,U,N,U,N,U,U,U,U,,,,,
-77.215851795967566,38.778171935963798,7004,38.778164,-77.215847,,1304898,5000166,397,PRS,NON,1985-06-30T00:00:00.000Z,REV,ALBERTA ST,GREELEY BLVD,168,MIX,OPPO,GREELEY BLVD + ALBERTA ST,,KFH,2012-04-03T00:00:00.000Z,0,UNK,NAPP,N,N,N,N,SWK,CON,NON,N,N,E,2,N,Y,N,LSC,LSC,,N,N,U,Y,N,N,E,N,N,N,N,YUN,,N,N,N,N,U,U,U,U,,,,,
-76.908144093705346,39.034173426489517,7005,39.034166,-76.908139,,1300587,3002477,10582,PRS,NON,1996-03-03T00:00:00.000Z,REV,POWDER MILL RD,BALTIMORE AVE,48,NEA,S OF ENTR TO #11033,BALTIMORE AVE + POWDER MILL RD,,KFH,2006-11-04T00:00:00.000Z,0,UNK,UNKW,N,N,N,N,SWK,CON,NON,N,N,E,4,N,N,N,NON,UNK,8.1,Y,N,Y,Y,N,N,N,N,Y,N,N,NPL,,U,Y,U,N,U,U,U,U,,,,,
-77.09140322594601,38.894699665454219,7006,38.894692,-77.091398,,1304481,6000701,5442,PRS,NON,1901-01-01T00:00:00.000Z,REV,N CLEVELAND ST,LEE HWY,82,NEA,UNKNOWN,LEE HWY + N CLEVELAND ST,,KFH,2007-03-01T00:00:00.000Z,1,INS,ARTA,N,Y,N,Y,58O,CON,NWB,Y,N,E,5,N,Y,N,NON,UNK,5.9,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NSG,,N,Y,U,N,U,U,U,U,,,,,
-77.043752261675834,38.921305615079099,7007,38.921298,-77.043747,,1301892,1001789,7115,PRS,NON,1961-12-03T00:00:00.000Z,REV,MINTWOOD PL NW,COLUMBIA RD NW,199,NEA,UNKNOWN,COLUMBIA RD NW + MINTWOOD PL NW,,KFH,2006-05-10T00:00:00.000Z,1,INS,WMAT,N,Y,N,Y,58U,CON,NON,Y,N,E,11,Y,Y,N,NON,UNK,4.6,Y,N,Y,N,Y,N,Y,U,N,N,N,NSG,,N,N,U,N,U,U,U,U,,,,,
-76.925361128837991,38.999744449832932,7008,38.999737,-76.925356,,1311001,3002312,10085,PRS,NON,1972-09-07T00:00:00.000Z,REV,UNIVERSITY BLVD,RHODE ISLAND AVE,200,NEA,@ PEPCO POLE #861167,RHODE ISLAND AVE + UNIVERSITY BLVD,,KFH,2006-10-03T00:00:00.000Z,2,UNK,WMAT,N,Y,N,Y,58O,CON,SHL,Y,N,E,6,N,N,N,NON,UNK,5.2,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,NPL,,U,Y,U,N,U,U,U,U,,,,,
-76.983489556139958,38.857233622674066,7009,38.857226,-76.983484,,1309946,1000291,3175,PRS,NON,1963-02-11T00:00:00.000Z,REV,ELVANS RD SE,MORRIS RD SE,307,NEX,@ PEPCO POLE #520255,MORRIS RD SE + ELVANS RD SE,,KFH,2006-05-08T00:00:00.000Z,0,UNK,WMAT,N,Y,N,Y,58U,CON,NON,Y,N,E,4,N,Y,Y,NON,SLP,,N,N,U,Y,Y,N,U,Y,Y,N,N,NPL,,U,Y,U,U,U,U,U,U,,,,,
-77.098489139294145,38.961492577639781,7010,38.961485,-77.098484,,1304477,2000026,8950,PRS,NON,1963-11-15T00:00:00.000Z,REV,VENTNOR RD,RIVER RD,310,NEA,UNKNOWN,RIVER RD + VENTNOR RD,,KFH,2012-02-24T00:00:00.000Z,0,UNK,NAPP,N,N,N,N,SWK,CON,NON,Y,Y,N,5,Y,Y,Y,NON,NON,,N,N,U,Y,N,N,E,Y,N,N,N,NSG,150,N,N,N,N,U,U,U,U,,,,,
-77.076939227114281,38.912604635989659,7011,38.912597,-77.076934,,1304472,1001560,6666,PRS,NON,1901-01-01T00:00:00.000Z,UNK,GEORGETOWN MEDICAL SCHOOL,RESERVOIR RD NW,90,MID,FRT,RESERVOIR RD NW + GEORGETOWN MEDICAL SCHOOL,,KFH,2006-05-22T00:00:00.000Z,,UNK,UNKW,N,Y,N,N,58U,CON,NON,Y,Y,U,4,N,Y,N,NON,UNK,7.8,N,Y,U,N,N,Y,U,U,N,N,N,NSG,,N,Y,U,N,U,U,U,U,,,,,
-77.103909270788762,38.823270768114284,7012,38.823263,-77.103904,,1303237,4000265,1505,PRS,NON,1983-12-08T00:00:00.000Z,UNK,ALEXANDRIA HOSPITAL,N HOWARD ST,328,FAR,OPPO ALEX HOSP,N HOWARD ST + ALEXANDRIA HOSPITAL,,KFH,2009-02-26T00:00:00.000Z,,UNK,UNKW,N,Y,N,Y,SWK,CON,NON,N,N,E,4,N,Y,N,NON,UNK,5.7,Y,Y,U,N,N,Y,U,U,Y,Y,N,NPL,,U,N,U,N,U,U,U,U,,,,,
